Nose_x,Nose_y,LeftEye_x,LeftEye_y,RightEye_x,RightEye_y,LeftEar_x,LeftEar_y,RightEar_x,RightEar_y,LeftShoulder_x,LeftShoulder_y,RightShoulder_x,RightShoulder_y,LeftElbow_x,LeftElbow_y,RightElbow_x,RightElbow_y,LeftWrist_x,LeftWrist_y,RightWrist_x,RightWrist_y,LeftHip_x,LeftHip_y,RightHip_x,RightHip_y,LeftKnee_x,LeftKnee_y,RightKnee_x,RightKnee_y,LeftAnkle_x,LeftAnkle_y,RightAnkle_x,RightAnkle_y,IsArmStretch,IsLegStretch,IsLegClose,IsKneeStop,IsChinOver,PullUpCount,TryCount
305.7168,442.97592,316.0944,437.7871,295.3392,437.7871,342.03842,453.35352,279.7728,453.35352,367.98242,489.67514,264.2064,494.86392,404.30405,406.6543,222.69597,401.46548,430.24805,323.63345,201.94075,318.44467,357.60483,692.0384,284.96158,692.0384,367.98242,847.70245,295.3392,847.70245,357.60483,972.2337,310.9056,972.2337,1.0,1.0,1.0,1.0,0.0,0.0,1
306.20703,443.19922,316.59766,432.8086,295.8164,432.8086,342.57422,453.58984,280.23047,453.58984,368.55078,489.95703,264.64453,495.15234,404.91797,406.83203,223.08203,401.63672,430.89453,323.70703,202.30078,318.51172,358.16016,692.5742,285.42578,692.5742,363.35547,848.4336,295.8164,848.4336,358.16016,973.1211,306.20703,973.1211,1.0,1.0,1.0,1.0,0.0,0.0,1
306.66797,441.09244,317.1107,430.64975,296.22525,430.64975,343.21744,451.53516,280.5612,451.53516,369.32422,488.08463,259.67578,488.08463,405.8737,399.32162,223.1263,399.32162,426.75912,321.0013,202.24089,315.77994,353.66016,691.71747,285.78256,691.71747,358.8815,848.3581,291.0039,848.3581,353.66016,973.6706,306.66797,973.6706,1.0,1.0,1.0,1.0,0.0,0.0,1
306.6875,441.64584,317.10416,431.22916,296.27084,431.22916,343.14584,452.0625,280.64584,452.0625,369.1875,488.52084,265.02084,493.72916,405.64584,399.97916,223.35417,399.97916,426.47916,321.85416,202.52083,316.64584,353.5625,691.6458,280.64584,691.6458,358.77084,847.8958,291.0625,847.8958,348.35416,978.1042,306.6875,972.8958,1.0,1.0,1.0,1.0,0.0,0.0,1
306.67773,441.86914,317.10742,431.43945,296.24805,431.43945,343.18164,447.08398,275.38867,452.29883,364.04102,488.80273,259.74414,488.80273,405.75977,400.1504,223.24023,400.1504,426.61914,321.92773,202.38086,316.7129,353.61133,686.9668,280.60352,692.18164,358.82617,848.62695,291.0332,848.62695,348.39648,978.99805,301.4629,973.7832,1.0,1.0,1.0,1.0,0.0,0.0,1
307.1875,441.64584,317.60416,431.22916,291.5625,431.22916,343.64584,446.85416,275.9375,452.0625,364.47916,488.52084,260.3125,488.52084,406.14584,399.97916,223.85417,399.97916,426.97916,321.85416,203.02083,316.64584,354.0625,686.4375,281.14584,691.6458,359.27084,853.1042,291.5625,847.8958,343.64584,972.8958,301.97916,972.8958,1.0,1.0,1.0,1.0,0.0,0.0,1
307.1875,440.64584,317.60416,430.22916,291.5625,430.22916,338.4375,445.85416,275.9375,451.0625,364.47916,487.52084,260.3125,487.52084,406.14584,398.97916,223.85417,398.97916,426.97916,320.85416,203.02083,315.64584,354.0625,685.4375,281.14584,685.4375,354.0625,852.1042,291.5625,852.1042,343.64584,977.1042,296.77084,971.8958,1.0,1.0,1.0,1.0,0.0,0.0,1
306.6875,440.64584,317.10416,430.22916,291.0625,430.22916,337.9375,445.85416,275.4375,451.0625,363.97916,487.52084,259.8125,487.52084,405.64584,398.97916,223.35417,398.97916,426.47916,320.85416,202.52083,315.64584,353.5625,685.4375,280.64584,685.4375,353.5625,852.1042,291.0625,852.1042,343.14584,977.1042,296.27084,971.8958,1.0,1.0,1.0,1.0,0.0,0.0,1
306.67773,439.86914,317.10742,429.43945,291.0332,429.43945,337.9668,445.08398,275.38867,450.29883,364.04102,486.80273,259.74414,486.80273,400.54492,398.1504,223.24023,398.1504,431.83398,319.92773,202.38086,314.7129,353.61133,684.9668,280.60352,684.9668,353.61133,851.8418,291.0332,846.62695,343.18164,971.7832,301.4629,971.7832,1.0,1.0,1.0,1.0,0.0,0.0,1
306.66797,440.09244,317.1107,429.64975,291.0039,429.64975,337.9961,445.3138,275.33984,450.53516,364.10287,487.08463,259.67578,487.08463,400.65234,393.10025,223.1263,398.32162,431.98047,320.0013,202.24089,314.77994,353.66016,685.4961,280.5612,690.71747,348.4388,852.5794,291.0039,847.3581,337.9961,972.6706,296.22525,967.4492,1.0,1.0,1.0,1.0,0.0,0.0,1
